xi,v2_xi,absF,reF,imF
232,3,4.982461734693789e-06,-4.67025575929009e-06,1.7359827419953172e-06
233,0,4.982461734693843e-06,-4.667587301378723e-06,1.743144779327429e-06
234,1,4.982461734693844e-06,-4.664907860183514e-06,1.7503027148714748e-06
235,0,4.982461734693843e-06,-4.6622174420094965e-06,1.75745653178416e-06
236,2,4.982461734693843e-06,-4.659516053187486e-06,1.7646062132318626e-06
237,0,4.9824617346938424e-06,-4.656803700074111e-06,1.7717517423906908e-06
238,1,4.982461734693843e-06,-4.6540803890518e-06,1.7788931024465246e-06
239,0,4.9824617346938424e-06,-4.651346126528768e-06,1.7860302765950543e-06
240,4,4.982461734693788e-06,-4.648600918938946e-06,1.7931632480418e-06
241,0,4.9824617346938424e-06,-4.645844772742227e-06,1.8002920000022494e-06
242,1,4.9824617346938424e-06,-4.643077694423936e-06,1.8074165157017017e-06
243,0,4.9824617346938424e-06,-4.640299690495326e-06,1.8145367783755034e-06
244,2,4.982461734693842e-06,-4.637510767493309e-06,1.8216527712689882e-06
245,0,4.9824617346938424e-06,-4.634710931980491e-06,1.8287644776375375e-06
246,1,4.982461734693842e-06,-4.631900190545154e-06,1.8358718807466192e-06
247,0,4.982461734693842e-06,-4.629078549801245e-06,1.8429749638718274e-06
248,3,4.9824617346937865e-06,-4.626246016388307e-06,1.8500737102989008e-06
249,0,4.982461734693842e-06,-4.6234025969717155e-06,1.8571681033238641e-06
250,1,4.982461734693841e-06,-4.62054829824216e-06,1.864258126252865e-06
251,0,4.982461734693842e-06,-4.617683126916131e-06,1.8713437624024147e-06
252,2,4.982461734693842e-06,-4.614807089735654e-06,1.878424995099327e-06
253,0,4.982461734693841e-06,-4.611920193468322e-06,1.885501807680777e-06
254,1,4.982461734693841e-06,-4.609022444907281e-06,1.8925741834943409e-06
255,0,4.982461734693841e-06,-4.606113850871212e-06,1.899642105898036e-06
256,8,4.982461734692702e-06,-4.603194418203269e-06,1.906705558259922e-06
257,0,4.982461734693841e-06,-4.600264153776311e-06,1.91376452396032e-06
258,1,4.98246173469384e-06,-4.59732306448238e-06,1.9208189863874955e-06
259,0,4.98246173469384e-06,-4.594371157243195e-06,1.927868928942052e-06
260,2,4.98246173469384e-06,-4.591408439004878e-06,1.934914335034794e-06
261,0,4.98246173469384e-06,-4.588434916738991e-06,1.9419551880872e-06
262,1,4.98246173469384e-06,-4.58545059744252e-06,1.948991471531464e-06
263,0,4.98246173469384e-06,-4.582455488137856e-06,1.9560231688105294e-06
264,3,4.982461734693786e-06,-4.579449595872732e-06,1.9630502633781134e-06
265,0,4.98246173469384e-06,-4.57643292772045e-06,1.9700727386988466e-06
266,1,4.98246173469384e-06,-4.573405490779374e-06,1.977090578248103e-06
267,0,4.98246173469384e-06,-4.570367292173404e-06,1.9841037655122497e-06
268,2,4.98246173469384e-06,-4.5673183390517165e-06,1.991112283988579e-06
269,0,4.98246173469384e-06,-4.564258638588791e-06,1.9981161171853705e-06
270,1,4.982461734693839e-06,-4.561188197984399e-06,2.005115248621928e-06
271,0,4.982461734693839e-06,-4.558107024463583e-06,2.0121096618286184e-06
272,4,4.982461734693785e-06,-4.5550151252765945e-06,2.0190993403468905e-06
273,0,4.982461734693838e-06,-4.5519125076991174e-06,2.0260842677294217e-06
274,1,4.982461734693838e-06,-4.548799179031763e-06,2.0330644275399372e-06
275,0,4.982461734693838e-06,-4.545675146600544e-06,2.040039803353468e-06
276,2,4.982461734693837e-06,-4.542540417756609e-06,2.0470103787562816e-06
277,0,4.982461734693838e-06,-4.5393949998762804e-06,2.053976137345941e-06
278,1,4.982461734693838e-06,-4.536238900361029e-06,2.0609370627313422e-06
279,0,4.982461734693837e-06,-4.533072126637461e-06,2.0678931385327562e-06
280,3,4.982461734693783e-06,-4.5298946861572525e-06,2.0748443483818424e-06
281,0,4.982461734693837e-06,-4.5267065863973755e-06,2.0817906759218e-06
282,1,4.982461734693837e-06,-4.523507834859589e-06,2.0887321048071813e-06
283,0,4.9824617346938365e-06,-4.5202984390709124e-06,2.0956686187041567e-06
284,2,4.9824617346938365e-06,-4.517078406583366e-06,2.102600201290439e-06
285,0,4.9824617346938365e-06,-4.513847744973997e-06,2.109526836255344e-06
286,1,4.982461734693836e-06,-4.510606461844862e-06,2.116448507299831e-06
287,0,4.982461734693836e-06,-4.507354564823016e-06,2.1233651981365396e-06
288,5,4.982461734693565e-06,-4.504092061560241e-06,2.1302768924897127e-06
289,0,4.982461734693836e-06,-4.5008189597342565e-06,2.1371835740958125e-06
290,1,4.982461734693836e-06,-4.497535267046253e-06,2.144085226702403e-06
291,0,4.982461734693836e-06,-4.494240991223321e-06,2.1509818340693442e-06
292,2,4.982461734693835e-06,-4.490936140017211e-06,2.1578733799682538e-06
293,0,4.982461734693835e-06,-4.487620721204555e-06,2.1647598481826576e-06
294,1,4.982461734693834e-06,-4.484294742586856e-06,2.171641222508031e-06
295,0,4.982461734693834e-06,-4.480958211990462e-06,2.1785174867518354e-06
296,3,4.98246173469378e-06,-4.477611137266503e-06,2.1853886247335336e-06
297,0,4.982461734693834e-06,-4.474253526291115e-06,2.1922546202847452e-06
298,1,4.982461734693833e-06,-4.470885386964935e-06,2.199115457249048e-06
299,0,4.982461734693833e-06,-4.467506727213569e-06,2.2059711194822536e-06
300,2,4.982461734693833e-06,-4.4641175549873305e-06,2.2128215908523265e-06
301,0,4.982461734693833e-06,-4.4607178782612675e-06,2.2196668552394463e-06
302,1,4.982461734693833e-06,-4.457307705035149e-06,2.2265068965360446e-06
303,0,4.982461734693832e-06,-4.453887043333442e-06,2.2333416986468428e-06
304,4,4.982461734693779e-06,-4.450455901205245e-06,2.2401712454888675e-06
305,0,4.982461734693831e-06,-4.447014286724512e-06,2.2469955209916084e-06
306,1,4.982461734693832e-06,-4.4435622079895495e-06,2.2538145090968133e-06
307,0,4.982461734693832e-06,-4.4400996731234805e-06,2.260628193758768e-06
308,2,4.9824617346938306e-06,-4.436626690273983e-06,2.2674365589442147e-06
309,0,4.982461734693831e-06,-4.433143267613323e-06,2.274239588632413e-06
